PERIOD,YEAR,STATS_VALUE
August,2023,68
September,2023,133.4
October,2023,59.6
December,2023,146.8
January,2024,28.4
February,2024,43.8
March,2024,68.6
April,2024,81.6
May,2024,141.2
June,2024,117.4
July,2024,115.8
September,2024,80
October,2024,116
December,2024,64.4
January,2025,38.4
February,2025,7
April,2025,223.4
