PERIOD,YEAR,STATS_VALUE
January,2021,461.9
February,2021,147.3
March,2021,416.9
April,2021,295.1
May,2021,397.7
June,2021,479.1
July,2021,514.9
August,2021,400
September,2021,441.4
October,2021,370.6
November,2021,531.2
December,2021,663.8
January,2022,40
February,2022,634
March,2022,74
April,2022,267.4
May,2022,369
June,2022,546.7
July,2022,434.9
August,2022,687
September,2022,426.4
October,2022,371.9
November,2022,478.5
December,2022,141.8
January,2023,200.7
February,2023,434.1
March,2023,530.5
April,2023,508.6
May,2023,670.5
June,2023,143.7
July,2023,135.8
August,2023,159.7
September,2023,424.4
October,2023,331.3
November,2023,211.1
December,2023,571.3
January,2024,412.5
February,2024,301.6
March,2024,235.8
April,2024,610.7
May,2024,72.5
June,2024,285.3
July,2024,219.4
August,2024,705
September,2024,689.4
October,2024,556.4
November,2024,701.3
December,2024,458.3
January,2025,92.1
